,Unnamed: 0,Fragment,CV,Shannon_uniformity,Gini,LogDiff,exp
27,27,F34,0.4417314829994981,0.9859266105949714,0.242770559555549,0.493826948222515,gibson
28,28,F35,0.4784517799133515,0.9829330552143464,0.2667138610740331,0.5624311968296469,gibson
29,29,F36,0.5708276628688835,0.9771292497882474,0.307235417949813,0.6459132750338439,gibson
30,30,F37,0.5112490580725072,0.9801999454188688,0.2814681289629641,0.6047000874941708,gibson
31,31,F38,0.4222065548134029,0.9870764505401778,0.2330451358655622,0.4873404199013484,gibson
32,32,F39,0.3561204927178905,0.9905446204797124,0.1972513679577843,0.401145148547249,gibson
33,33,F4,0.4385831338074003,0.9859394215162504,0.2421421990862108,0.4968653129154194,gibson
34,34,F40,0.4277479639360754,0.9865585635983676,0.2366637785180821,0.5113019760434516,gibson
35,35,F41,0.4124726433942118,0.9875550896553086,0.2301754859236795,0.4698220159781627,gibson
36,36,F42,0.3719138734941595,0.9897171981767408,0.2079167861077114,0.4460870209796936,gibson
37,37,F43,0.4694955637049302,0.9833321397537086,0.2570342711275886,0.5460648041063512,gibson
38,38,F5,0.410779063063773,0.987104712169676,0.2316984859770646,0.4844823543660319,gibson
39,39,F6,0.4846973261846527,0.9827122444018168,0.2666722723171624,0.5827983795193312,gibson
40,40,F7,0.5447885274979009,0.9785515871762934,0.2977696983649814,0.637934247956542,gibson
41,41,F8,0.3301854876043966,0.991756639974661,0.1858250994425644,0.3807945789140201,gibson
42,42,F9,0.3063411302986236,0.9929864238204364,0.1711783127469497,0.3484546455921193,gibson
