,Fragment,class,count,msum,n_pcr,perc,mut_sum,mut_avg,tot_mut,perc_mutations,pcr_set,More_than_4,More_than_9,n,>4,>9,nclones_pcr,nclones,nclones_bp
79,F43,GOOD,20659,51420,8,40.17697394010113,373,20.72222222222222,378.0,98.67724867724868,2,373,373,376,99.20212765957449,99.20212765957449,7500.0,60000.0,1176
80,F13,GOOD,18817,27576,9,68.23687264287787,518,20.72,525.0,98.66666666666669,2,520,516,524,99.23664122137404,98.47328244274809,5000.0,45000.0,600
81,F43,GOOD,20603,51879,9,39.713564255286336,373,20.72222222222222,378.0,98.67724867724868,2,373,373,376,99.20212765957449,99.20212765957449,7500.0,67500.0,1324
82,F13,GOOD,19718,29605,10,66.60361425434893,518,20.72,525.0,98.66666666666669,2,522,519,524,99.61832061068702,99.04580152671755,5000.0,50000.0,667
83,F43,GOOD,19876,53921,10,36.86133417406947,373,20.72222222222222,378.0,98.67724867724868,2,374,373,376,99.46808510638296,99.20212765957449,7500.0,75000.0,1471
84,F13,GOOD,22417,35845,11,62.53870832752128,518,20.72,525.0,98.66666666666669,2,524,521,524,100.0,99.42748091603052,5000.0,55000.0,733
85,F43,GOOD,19369,55483,11,34.90979218859831,373,20.72222222222222,378.0,98.67724867724868,2,374,373,376,99.46808510638296,99.20212765957449,7500.0,82500.0,1618
86,F13,GOOD,23429,38273,12,61.21547827450161,518,20.72,525.0,98.66666666666669,2,524,521,524,100.0,99.42748091603052,5000.0,60000.0,800
87,F43,GOOD,18683,57333,12,32.58681736521724,373,20.72222222222222,378.0,98.67724867724868,2,375,373,376,99.7340425531915,99.20212765957449,7500.0,90000.0,1765
88,F13,GOOD,24048,40119,13,59.94167352127421,518,20.72,525.0,98.66666666666669,2,524,521,524,100.0,99.42748091603052,5000.0,65000.0,867
89,F43,GOOD,17908,58635,13,30.54148546090219,373,20.72222222222222,378.0,98.67724867724868,2,375,373,376,99.7340425531915,99.20212765957449,7500.0,97500.0,1912
90,F13,GOOD,24341,41152,14,59.149008553654745,518,20.72,525.0,98.66666666666669,2,524,521,524,100.0,99.42748091603052,5000.0,70000.0,933
91,F43,GOOD,16982,60319,14,28.153649762098176,373,20.72222222222222,378.0,98.67724867724868,2,375,373,376,99.7340425531915,99.20212765957449,7500.0,105000.0,2059
92,F13,GOOD,24341,41152,15,59.149008553654745,518,20.72,525.0,98.66666666666669,2,524,521,524,100.0,99.42748091603052,5000.0,75000.0,1000
93,F43,GOOD,16535,60943,15,27.13191014554584,373,20.72222222222222,378.0,98.67724867724868,2,375,373,376,99.7340425531915,99.20212765957449,7500.0,112500.0,2206
94,F13,GOOD,25521,45010,16,56.70073317040658,518,20.72,525.0,98.66666666666669,2,524,522,524,100.0,99.61832061068702,5000.0,80000.0,1067
95,F43,GOOD,15924,61828,16,25.75532121368959,373,20.72222222222222,378.0,98.67724867724868,2,375,373,377,99.46949602122017,98.93899204244032,7500.0,120000.0,2353
96,F13,GOOD,1848,2246,1,82.27960819234195,482,19.28,525.0,91.8095238095238,3,180,39,486,37.03703703703704,8.024691358024691,5000.0,5000.0,67
97,F43,GOOD,10906,13435,1,81.17603275027912,373,20.72222222222222,378.0,98.67724867724868,3,370,351,373,99.19571045576409,94.1018766756032,7500.0,7500.0,147
98,F13,GOOD,5601,6958,2,80.49726933026732,517,20.68,525.0,98.47619047619048,3,467,310,519,89.98073217726397,59.73025048169557,5000.0,10000.0,133
99,F43,GOOD,15115,20296,2,74.47280252266457,373,20.72222222222222,378.0,98.67724867724868,3,373,369,374,99.73262032085562,98.66310160427808,7500.0,15000.0,294
100,F13,GOOD,7644,9722,3,78.62579716107797,518,20.72,525.0,98.66666666666669,3,501,409,523,95.79349904397706,78.20267686424475,5000.0,15000.0,200
101,F43,GOOD,18660,27850,3,67.00179533213645,373,20.72222222222222,378.0,98.67724867724868,3,373,373,374,99.73262032085562,99.73262032085562,7500.0,22500.0,441
102,F13,GOOD,10241,13394,4,76.45960878005077,518,20.72,525.0,98.66666666666669,3,515,475,524,98.2824427480916,90.64885496183206,5000.0,20000.0,267
103,F43,GOOD,21150,36929,4,57.27206260662352,373,20.72222222222222,378.0,98.67724867724868,3,373,373,375,99.46666666666668,99.46666666666668,7500.0,30000.0,588
104,F13,GOOD,15613,21816,5,71.56674000733406,518,20.72,525.0,98.66666666666669,3,520,512,524,99.23664122137404,97.70992366412212,5000.0,25000.0,333
105,F43,GOOD,21701,40653,5,53.38105428873637,373,20.72222222222222,378.0,98.67724867724868,3,373,373,375,99.46666666666668,99.46666666666668,7500.0,37500.0,735
106,F13,GOOD,17420,24911,6,69.92894705150336,518,20.72,525.0,98.66666666666669,3,521,515,524,99.42748091603052,98.2824427480916,5000.0,30000.0,400
107,F43,GOOD,21862,44636,6,48.97840308271351,373,20.72222222222222,378.0,98.67724867724868,3,373,373,376,99.20212765957449,99.20212765957449,7500.0,45000.0,882
